Pays,iso3,date,real_gdp_growth_qoq,gdp_level,final_consumption_expenditure,cpi_index,short_term_interest,trade_balance_usd_billion,reer_ic37_41_cpi
Belgium,BEL,1960Q2,1.231744618,NA,NA,14.35558,3.5,-0.0048338221,NA
Denmark,DNK,1960Q2,0.622802525,NA,NA,NA,NA,-0.0685736,NA
Finland,FIN,1960Q2,2.221381977,NA,NA,7.450348,NA,-0.03241794,NA
France,FRA,1960Q2,0.375710027,NA,NA,9.804988,NA,NA,NA
Germany,DEU,1960Q2,1.779654153,NA,NA,23.02897,4.8266666667,0.18759188,NA
Greece,GRC,1960Q2,3.419559355,NA,NA,1.12357,NA,-0.12568771,NA
Iceland,ISL,1960Q2,-0.35800593000000003,NA,NA,0.03606973,NA,-0.0023215655,NA
Ireland,IRL,1960Q2,1.359769408,NA,NA,4.870736,NA,-0.05719568,NA
Italy,ITA,1960Q2,1.467602899,NA,NA,3.843658,NA,-0.22625941,NA
Japan,JPN,1960Q2,0.18434399,NA,NA,18.29109,NA,-0.06864581,NA
Luxembourg,LUX,1960Q2,1.082788292,NA,NA,15.68666,NA,NA,NA
Mexico,MEX,1960Q2,0.998134871,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1960Q2,2.334749088,NA,NA,15.50152,NA,-0.10686029,NA
Norway,NOR,1960Q2,0.764860177,NA,NA,8.313881,NA,NA,NA
Portugal,PRT,1960Q2,0.646962228,NA,NA,1.096102,NA,-0.05273648,NA
South Korea,KOR,1960Q2,4.625436581,61530,235620,NA,NA,-0.08086858999999999,NA
Spain,ESP,1960Q2,2.055865241,NA,NA,2.66907,NA,NA,NA
Sweden,SWE,1960Q2,1.355257579,NA,NA,8.908053,NA,-0.0816445351,NA
Switzerland,CHE,1960Q2,2.027766777,NA,NA,24.47017,NA,-0.09251942,NA
United Kingdom,GBR,1960Q2,-0.689509232,6486,14916,5.663062,NA,-0.6118384,NA
United States,USA,1960Q2,-0.538357281,136488,270403.8,12.48856,NA,1.0084,NA
Australia,AUS,1960Q3,0.214818947,4407,11981.8,NA,NA,-0.09294905,NA
Austria,AUT,1960Q3,1.255080236,NA,NA,16.04959,NA,-0.07509431,NA
Belgium,BEL,1960Q3,1.223442756,NA,NA,14.32947,4.1666666667,-0.07832046000000001,NA
Denmark,DNK,1960Q3,1.02044357,NA,NA,NA,NA,-0.056004,NA
Finland,FIN,1960Q3,1.115973755,NA,NA,7.519333,NA,-0.015421403,NA
France,FRA,1960Q3,0.748560969,NA,NA,9.948071,NA,NA,NA
Germany,DEU,1960Q3,3.456686475,NA,NA,22.96373,5.5433333333,0.30952477,NA
Greece,GRC,1960Q3,3.32465944,NA,NA,1.12357,NA,-0.13625775,NA
Iceland,ISL,1960Q3,-0.361266351,NA,NA,0.03469565,NA,-0.0025995766,NA
Ireland,IRL,1960Q3,1.348898756,NA,NA,4.870736,NA,-0.04819842,NA
Italy,ITA,1960Q3,1.468634793,NA,NA,3.863712,NA,-0.32572648,NA
Japan,JPN,1960Q3,3.43451683,NA,NA,18.56628,NA,-0.11460233,NA
Luxembourg,LUX,1960Q3,1.077075234,NA,NA,15.76988,NA,NA,NA
Mexico,MEX,1960Q3,0.993700656,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1960Q3,-1.710530287,NA,NA,15.50152,NA,-0.12891665,NA
Norway,NOR,1960Q3,1.22377303,NA,NA,8.313881,NA,NA,NA
Portugal,PRT,1960Q3,0.927049024,NA,NA,1.096102,NA,-0.05573826,NA
South Korea,KOR,1960Q3,-1.137286759,65440,239260,NA,NA,-0.07719365,NA
Spain,ESP,1960Q3,2.797368605,NA,NA,2.689748,NA,NA,NA
Sweden,SWE,1960Q3,1.626155234,NA,NA,8.895759,NA,-0.06511341,NA
Switzerland,CHE,1960Q3,3.665931806,NA,NA,24.6572,NA,-0.10005053,NA
United Kingdom,GBR,1960Q3,1.476193858,6580,15005,5.642636,NA,-0.6618743,NA
United States,USA,1960Q3,0.48993124,135021,269079.8,12.48856,NA,1.3092000000000001,NA
Australia,AUS,1960Q4,-0.180013738,4435,12585.9,NA,NA,-0.122224793,NA
Austria,AUT,1960Q4,1.38629464,NA,NA,16.08085,NA,-0.08499635,NA
Belgium,BEL,1960Q4,1.215260222,NA,NA,14.40519,4.5,-0.0321059645,NA
Denmark,DNK,1960Q4,1.407604305,NA,NA,NA,NA,-0.08618134,NA
Finland,FIN,1960Q4,1.944552909,NA,NA,7.588317,NA,-0.007865743,NA
France,FRA,1960Q4,1.185217727,NA,NA,10.01585,NA,NA,NA
Germany,DEU,1960Q4,1.022068212,NA,NA,23.09421,5.5133333333,0.37507629000000003,NA
Greece,GRC,1960Q4,3.235265421,NA,NA,1.145177,NA,-0.11304883,NA
Iceland,ISL,1960Q4,-0.364557508,NA,NA,0.03538269,NA,-0.0033472251999999997,NA
Ireland,IRL,1960Q4,1.338218574,NA,NA,4.908139,NA,-0.05406818,NA
Italy,ITA,1960Q4,0.076755078,NA,NA,3.887108,NA,-0.30727415,NA
Japan,JPN,1960Q4,3.843474641,NA,NA,18.54794,NA,-0.10831117,NA
Luxembourg,LUX,1960Q4,1.071420882,NA,NA,15.76037,NA,NA,NA
Mexico,MEX,1960Q4,0.989300033,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1960Q4,1.112932285,NA,NA,15.34955,NA,-0.14830731,NA
Norway,NOR,1960Q4,1.668120064,NA,NA,8.313881,NA,NA,NA
Portugal,PRT,1960Q4,1.200127462,NA,NA,1.117827,NA,-0.06380742,NA
South Korea,KOR,1960Q4,0.584172145,67130,278680,NA,NA,-0.07544188,NA
Spain,ESP,1960Q4,2.013018902,NA,NA,2.720221,NA,NA,NA
Sweden,SWE,1960Q4,1.871301104,NA,NA,8.954437,NA,-0.10162733,NA
Switzerland,CHE,1960Q4,0.043890437,NA,NA,24.67037,NA,-0.10852011,NA
United Kingdom,GBR,1960Q4,0.548290384,6713,15180,5.729445,NA,-0.6891426,NA
United States,USA,1960Q4,-1.283131151,139850,276835.9,12.57294,NA,1.4887000000000001,NA
Australia,AUS,1961Q1,0.300168474,4427,11954.4,NA,NA,-0.08946187,NA
Austria,AUT,1961Q1,2.805841783,NA,NA,16.37777,NA,-0.08515439999999999,NA
Belgium,BEL,1961Q1,1.193447231,NA,NA,14.43,4.5,-0.156921076,NA
Denmark,DNK,1961Q1,1.77996132,NA,NA,NA,NA,-0.08244798,NA
Finland,FIN,1961Q1,3.483736152,NA,NA,7.588317,NA,-0.032222904000000004,NA
France,FRA,1961Q1,1.608373557,NA,NA,10.02338,NA,NA,NA
Germany,DEU,1961Q1,1.011727665,NA,NA,23.28992,4.1733333333,0.49754509999999996,NA
Greece,GRC,1961Q1,3.097724794,NA,NA,1.145177,NA,-0.1399799,NA
Iceland,ISL,1961Q1,-0.352240613,NA,NA,0.03572621,NA,-8.810102299999999e-4,NA
Ireland,IRL,1961Q1,1.30889679,NA,NA,4.941387,NA,-0.05531106,NA
Italy,ITA,1961Q1,3.582778288,NA,NA,3.907162,NA,-0.27634841,NA
Japan,JPN,1961Q1,3.03976225,NA,NA,18.85982,NA,-0.23469215000000002,NA
Luxembourg,LUX,1961Q1,1.04926086,NA,NA,15.60105,NA,NA,NA
Mexico,MEX,1961Q1,0.973394787,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1961Q1,0.347489188,NA,NA,15.34955,NA,-0.19731669,NA
Norway,NOR,1961Q1,2.092317904,NA,NA,8.385552,NA,NA,NA
Portugal,PRT,1961Q1,1.464149497,NA,NA,1.111902,NA,-0.06882472,NA
South Korea,KOR,1961Q1,3.159184611,72930,305830,NA,NA,-0.06530288000000001,NA
Spain,ESP,1961Q1,2.858310798,NA,NA,2.697366,NA,NA,NA
Sweden,SWE,1961Q1,1.936294986,NA,NA,9.044971,NA,-0.038867536,NA
Switzerland,CHE,1961Q1,3.421945777,NA,NA,24.61681,NA,-0.15175024,NA
United Kingdom,GBR,1961Q1,1.678829576,6883,15582,5.754978,NA,-0.5332897,NA
United States,USA,1961Q1,0.675017967,132138,269299.8,12.57294,NA,1.6138,NA
Australia,AUS,1961Q2,-1.100083985,4329,12277.4,NA,NA,0.08151645,NA
Austria,AUT,1961Q2,-0.349958719,NA,NA,16.92474,NA,-0.06418529,NA
Belgium,BEL,1961Q2,1.167163366,NA,NA,14.49919,4.5,-0.04925689,NA
Canada,CAN,1961Q2,2.532129049,10205,45830,12.40453,3.53,0.032497530000000004,NA
Denmark,DNK,1961Q2,1.800290872,NA,NA,NA,NA,-0.07641039,NA
Finland,FIN,1961Q2,0.737143131,NA,NA,7.588317,NA,-0.031166111099999998,NA
France,FRA,1961Q2,1.600329267,NA,NA,9.970664,NA,NA,NA
Germany,DEU,1961Q2,-0.539334482,NA,NA,23.61611,3.2333333333,0.41854586,NA
Greece,GRC,1961Q2,2.990153668,NA,NA,1.145177,NA,-0.12409437000000001,NA
Iceland,ISL,1961Q2,-0.361198058,NA,NA,0.03572621,NA,-0.0021362507,NA
