Pays,iso3,date,indicator,value
United Kingdom,GBR,1960-Q2,real_gdp_growth_qoq,-0.689509232
United States,USA,1960-Q2,real_gdp_growth_qoq,-0.538357281
Australia,AUS,1960-Q3,real_gdp_growth_qoq,0.214818947
Austria,AUT,1960-Q3,real_gdp_growth_qoq,1.255080236
Belgium,BEL,1960-Q3,real_gdp_growth_qoq,1.223442756
Denmark,DNK,1960-Q3,real_gdp_growth_qoq,1.02044357
Finland,FIN,1960-Q3,real_gdp_growth_qoq,1.115973755
France,FRA,1960-Q3,real_gdp_growth_qoq,0.748560969
Germany,DEU,1960-Q3,real_gdp_growth_qoq,3.456686475
Greece,GRC,1960-Q3,real_gdp_growth_qoq,3.32465944
Iceland,ISL,1960-Q3,real_gdp_growth_qoq,-0.361266351
Ireland,IRL,1960-Q3,real_gdp_growth_qoq,1.348898756
Italy,ITA,1960-Q3,real_gdp_growth_qoq,1.468634793
Japan,JPN,1960-Q3,real_gdp_growth_qoq,3.43451683
Luxembourg,LUX,1960-Q3,real_gdp_growth_qoq,1.077075234
Mexico,MEX,1960-Q3,real_gdp_growth_qoq,0.993700656
Netherlands,NLD,1960-Q3,real_gdp_growth_qoq,-1.710530287
Norway,NOR,1960-Q3,real_gdp_growth_qoq,1.22377303
Portugal,PRT,1960-Q3,real_gdp_growth_qoq,0.927049024
South Korea,KOR,1960-Q3,real_gdp_growth_qoq,-1.137286759
Spain,ESP,1960-Q3,real_gdp_growth_qoq,2.797368605
Sweden,SWE,1960-Q3,real_gdp_growth_qoq,1.626155234
Switzerland,CHE,1960-Q3,real_gdp_growth_qoq,3.665931806
United Kingdom,GBR,1960-Q3,real_gdp_growth_qoq,1.476193858
United States,USA,1960-Q3,real_gdp_growth_qoq,0.48993124
Australia,AUS,1960-Q4,real_gdp_growth_qoq,-0.180013738
Austria,AUT,1960-Q4,real_gdp_growth_qoq,1.38629464
Belgium,BEL,1960-Q4,real_gdp_growth_qoq,1.215260222
Denmark,DNK,1960-Q4,real_gdp_growth_qoq,1.407604305
Finland,FIN,1960-Q4,real_gdp_growth_qoq,1.944552909
France,FRA,1960-Q4,real_gdp_growth_qoq,1.185217727
Germany,DEU,1960-Q4,real_gdp_growth_qoq,1.022068212
Greece,GRC,1960-Q4,real_gdp_growth_qoq,3.235265421
Iceland,ISL,1960-Q4,real_gdp_growth_qoq,-0.364557508
Ireland,IRL,1960-Q4,real_gdp_growth_qoq,1.338218574
Italy,ITA,1960-Q4,real_gdp_growth_qoq,0.076755078
Japan,JPN,1960-Q4,real_gdp_growth_qoq,3.843474641
Luxembourg,LUX,1960-Q4,real_gdp_growth_qoq,1.071420882
Mexico,MEX,1960-Q4,real_gdp_growth_qoq,0.989300033
Netherlands,NLD,1960-Q4,real_gdp_growth_qoq,1.112932285
Norway,NOR,1960-Q4,real_gdp_growth_qoq,1.668120064
Portugal,PRT,1960-Q4,real_gdp_growth_qoq,1.200127462
South Korea,KOR,1960-Q4,real_gdp_growth_qoq,0.584172145
Spain,ESP,1960-Q4,real_gdp_growth_qoq,2.013018902
Sweden,SWE,1960-Q4,real_gdp_growth_qoq,1.871301104
Switzerland,CHE,1960-Q4,real_gdp_growth_qoq,0.043890437
United Kingdom,GBR,1960-Q4,real_gdp_growth_qoq,0.548290384
United States,USA,1960-Q4,real_gdp_growth_qoq,-1.283131151
Australia,AUS,1961-Q1,real_gdp_growth_qoq,0.300168474
Austria,AUT,1961-Q1,real_gdp_growth_qoq,2.805841783
Belgium,BEL,1961-Q1,real_gdp_growth_qoq,1.193447231
Denmark,DNK,1961-Q1,real_gdp_growth_qoq,1.77996132
Finland,FIN,1961-Q1,real_gdp_growth_qoq,3.483736152
France,FRA,1961-Q1,real_gdp_growth_qoq,1.608373557
Germany,DEU,1961-Q1,real_gdp_growth_qoq,1.011727665
Greece,GRC,1961-Q1,real_gdp_growth_qoq,3.097724794
Iceland,ISL,1961-Q1,real_gdp_growth_qoq,-0.352240613
Ireland,IRL,1961-Q1,real_gdp_growth_qoq,1.30889679
Italy,ITA,1961-Q1,real_gdp_growth_qoq,3.582778288
Japan,JPN,1961-Q1,real_gdp_growth_qoq,3.03976225
Luxembourg,LUX,1961-Q1,real_gdp_growth_qoq,1.04926086
Mexico,MEX,1961-Q1,real_gdp_growth_qoq,0.973394787
Netherlands,NLD,1961-Q1,real_gdp_growth_qoq,0.347489188
Norway,NOR,1961-Q1,real_gdp_growth_qoq,2.092317904
Portugal,PRT,1961-Q1,real_gdp_growth_qoq,1.464149497
South Korea,KOR,1961-Q1,real_gdp_growth_qoq,3.159184611
Spain,ESP,1961-Q1,real_gdp_growth_qoq,2.858310798
Sweden,SWE,1961-Q1,real_gdp_growth_qoq,1.936294986
Switzerland,CHE,1961-Q1,real_gdp_growth_qoq,3.421945777
United Kingdom,GBR,1961-Q1,real_gdp_growth_qoq,1.678829576
United States,USA,1961-Q1,real_gdp_growth_qoq,0.675017967
Australia,AUS,1961-Q2,real_gdp_growth_qoq,-1.100083985
Austria,AUT,1961-Q2,real_gdp_growth_qoq,-0.349958719
Belgium,BEL,1961-Q2,real_gdp_growth_qoq,1.167163366
Canada,CAN,1961-Q2,real_gdp_growth_qoq,2.532129049
Denmark,DNK,1961-Q2,real_gdp_growth_qoq,1.800290872
Finland,FIN,1961-Q2,real_gdp_growth_qoq,0.737143131
France,FRA,1961-Q2,real_gdp_growth_qoq,1.600329267
Germany,DEU,1961-Q2,real_gdp_growth_qoq,-0.539334482
Greece,GRC,1961-Q2,real_gdp_growth_qoq,2.990153668
Iceland,ISL,1961-Q2,real_gdp_growth_qoq,-0.361198058
Ireland,IRL,1961-Q2,real_gdp_growth_qoq,1.282233011
Italy,ITA,1961-Q2,real_gdp_growth_qoq,2.115493108
Japan,JPN,1961-Q2,real_gdp_growth_qoq,2.131381825
Luxembourg,LUX,1961-Q2,real_gdp_growth_qoq,1.031951641
Mexico,MEX,1961-Q2,real_gdp_growth_qoq,0.954347314
Netherlands,NLD,1961-Q2,real_gdp_growth_qoq,-1.393059879
Norway,NOR,1961-Q2,real_gdp_growth_qoq,1.621275009
Portugal,PRT,1961-Q2,real_gdp_growth_qoq,1.532256747
South Korea,KOR,1961-Q2,real_gdp_growth_qoq,4.325769012
Spain,ESP,1961-Q2,real_gdp_growth_qoq,4.441130186
Sweden,SWE,1961-Q2,real_gdp_growth_qoq,0.363511886
Switzerland,CHE,1961-Q2,real_gdp_growth_qoq,1.355571082
United Kingdom,GBR,1961-Q2,real_gdp_growth_qoq,0.398229079
United States,USA,1961-Q2,real_gdp_growth_qoq,1.697854683
Australia,AUS,1961-Q3,real_gdp_growth_qoq,-0.721214223
Austria,AUT,1961-Q3,real_gdp_growth_qoq,1.256451829
Belgium,BEL,1961-Q3,real_gdp_growth_qoq,1.275744177
Canada,CAN,1961-Q3,real_gdp_growth_qoq,2.433416055
Denmark,DNK,1961-Q3,real_gdp_growth_qoq,1.819055683
Finland,FIN,1961-Q3,real_gdp_growth_qoq,0.514003459
France,FRA,1961-Q3,real_gdp_growth_qoq,1.59221853
Germany,DEU,1961-Q3,real_gdp_growth_qoq,2.052513111
Greece,GRC,1961-Q3,real_gdp_growth_qoq,1.260397723
Iceland,ISL,1961-Q3,real_gdp_growth_qoq,0.979253613
Ireland,IRL,1961-Q3,real_gdp_growth_qoq,0.967543067
Italy,ITA,1961-Q3,real_gdp_growth_qoq,2.330642273
Japan,JPN,1961-Q3,real_gdp_growth_qoq,1.918908589
Luxembourg,LUX,1961-Q3,real_gdp_growth_qoq,0.610606289
Mexico,MEX,1961-Q3,real_gdp_growth_qoq,1.007541979
Netherlands,NLD,1961-Q3,real_gdp_growth_qoq,0.117012238
Norway,NOR,1961-Q3,real_gdp_growth_qoq,1.174077826
Portugal,PRT,1961-Q3,real_gdp_growth_qoq,1.596982283
South Korea,KOR,1961-Q3,real_gdp_growth_qoq,-1.801598785
Spain,ESP,1961-Q3,real_gdp_growth_qoq,2.042474721
Sweden,SWE,1961-Q3,real_gdp_growth_qoq,1.386708171
Switzerland,CHE,1961-Q3,real_gdp_growth_qoq,1.242126259
United Kingdom,GBR,1961-Q3,real_gdp_growth_qoq,-0.48188937
United States,USA,1961-Q3,real_gdp_growth_qoq,1.920365796
Australia,AUS,1961-Q4,real_gdp_growth_qoq,1.148109775
Austria,AUT,1961-Q4,real_gdp_growth_qoq,0.227988195
Belgium,BEL,1961-Q4,real_gdp_growth_qoq,1.381073857
Canada,CAN,1961-Q4,real_gdp_growth_qoq,1.360480145
Denmark,DNK,1961-Q4,real_gdp_growth_qoq,1.836175694
Finland,FIN,1961-Q4,real_gdp_growth_qoq,2.261307499
France,FRA,1961-Q4,real_gdp_growth_qoq,1.699021949
Germany,DEU,1961-Q4,real_gdp_growth_qoq,0.455604549
Greece,GRC,1961-Q4,real_gdp_growth_qoq,-0.503746639
Iceland,ISL,1961-Q4,real_gdp_growth_qoq,2.389212807
Ireland,IRL,1961-Q4,real_gdp_growth_qoq,0.635145931
Italy,ITA,1961-Q4,real_gdp_growth_qoq,1.913144697
Japan,JPN,1961-Q4,real_gdp_growth_qoq,4.587967502
Luxembourg,LUX,1961-Q4,real_gdp_growth_qoq,0.165050539
Mexico,MEX,1961-Q4,real_gdp_growth_qoq,1.057329044
Netherlands,NLD,1961-Q4,real_gdp_growth_qoq,1.605198657
Norway,NOR,1961-Q4,real_gdp_growth_qoq,0.743972014
Portugal,PRT,1961-Q4,real_gdp_growth_qoq,1.658386705
South Korea,KOR,1961-Q4,real_gdp_growth_qoq,1.288725165
Spain,ESP,1961-Q4,real_gdp_growth_qoq,2.821708201
Sweden,SWE,1961-Q4,real_gdp_growth_qoq,0.503260333
Switzerland,CHE,1961-Q4,real_gdp_growth_qoq,1.958044212
United Kingdom,GBR,1961-Q4,real_gdp_growth_qoq,-0.204424243
United States,USA,1961-Q4,real_gdp_growth_qoq,1.96166961
Australia,AUS,1962-Q1,real_gdp_growth_qoq,2.797794161
Austria,AUT,1962-Q1,real_gdp_growth_qoq,1.463309536
Belgium,BEL,1962-Q1,real_gdp_growth_qoq,1.346942099
