Pays,iso3,date,indicator,value
Mexico,MEX,1994-Q3,reer_ic37_41_cpi,118.78868
Netherlands,NLD,1994-Q3,reer_ic37_41_cpi,101.82593
New Zealand,NZL,1994-Q3,reer_ic37_41_cpi,77.26008999999999
Norway,NOR,1994-Q3,reer_ic37_41_cpi,109.007515
Poland,POL,1994-Q3,reer_ic37_41_cpi,70.16211000000001
Portugal,PRT,1994-Q3,reer_ic37_41_cpi,97.11283499999999
Slovakia,SVK,1994-Q3,reer_ic37_41_cpi,48.81703
Slovenia,SVN,1994-Q3,reer_ic37_41_cpi,91.342715
South Korea,KOR,1994-Q3,reer_ic37_41_cpi,102.70274
Spain,ESP,1994-Q3,reer_ic37_41_cpi,94.838255
Sweden,SWE,1994-Q3,reer_ic37_41_cpi,109.99706
Switzerland,CHE,1994-Q3,reer_ic37_41_cpi,88.95665
Turkey,TUR,1994-Q3,reer_ic37_41_cpi,59.64579
United Kingdom,GBR,1994-Q3,reer_ic37_41_cpi,91.127065
United States,USA,1994-Q3,reer_ic37_41_cpi,83.32544
Australia,AUS,1994-Q4,reer_ic37_41_cpi,74.21247
Austria,AUT,1994-Q4,reer_ic37_41_cpi,108.96300500000001
Belgium,BEL,1994-Q4,reer_ic37_41_cpi,104.217545
Canada,CAN,1994-Q4,reer_ic37_41_cpi,95.36186000000001
Czechia,CZE,1994-Q4,reer_ic37_41_cpi,62.9322
Denmark,DNK,1994-Q4,reer_ic37_41_cpi,101.34928
Estonia,EST,1994-Q4,reer_ic37_41_cpi,53.259095
Finland,FIN,1994-Q4,reer_ic37_41_cpi,111.10524000000001
France,FRA,1994-Q4,reer_ic37_41_cpi,111.30048
Germany,DEU,1994-Q4,reer_ic37_41_cpi,119.1336
Hungary,HUN,1994-Q4,reer_ic37_41_cpi,76.12179
Ireland,IRL,1994-Q4,reer_ic37_41_cpi,99.79804999999999
Italy,ITA,1994-Q4,reer_ic37_41_cpi,95.44967
Japan,JPN,1994-Q4,reer_ic37_41_cpi,184.694875
Latvia,LVA,1994-Q4,reer_ic37_41_cpi,59.997344999999996
Lithuania,LTU,1994-Q4,reer_ic37_41_cpi,42.785675
Luxembourg,LUX,1994-Q4,reer_ic37_41_cpi,98.14457999999999
Mexico,MEX,1994-Q4,reer_ic37_41_cpi,113.53467
Netherlands,NLD,1994-Q4,reer_ic37_41_cpi,102.11309
New Zealand,NZL,1994-Q4,reer_ic37_41_cpi,79.52537000000001
Norway,NOR,1994-Q4,reer_ic37_41_cpi,109.02777
Poland,POL,1994-Q4,reer_ic37_41_cpi,72.18992
Portugal,PRT,1994-Q4,reer_ic37_41_cpi,97.42361
Slovakia,SVK,1994-Q4,reer_ic37_41_cpi,50.150639999999996
Slovenia,SVN,1994-Q4,reer_ic37_41_cpi,94.05934500000001
South Korea,KOR,1994-Q4,reer_ic37_41_cpi,102.21779000000001
Spain,ESP,1994-Q4,reer_ic37_41_cpi,94.67357000000001
Sweden,SWE,1994-Q4,reer_ic37_41_cpi,113.155395
Switzerland,CHE,1994-Q4,reer_ic37_41_cpi,88.80169000000001
Turkey,TUR,1994-Q4,reer_ic37_41_cpi,62.872125
United Kingdom,GBR,1994-Q4,reer_ic37_41_cpi,92.19335000000001
United States,USA,1994-Q4,reer_ic37_41_cpi,82.81031
Australia,AUS,1995-Q1,reer_ic37_41_cpi,72.95066
Austria,AUT,1995-Q1,reer_ic37_41_cpi,111.18246
Belgium,BEL,1995-Q1,reer_ic37_41_cpi,106.28014999999999
Canada,CAN,1995-Q1,reer_ic37_41_cpi,92.90766500000001
Czechia,CZE,1995-Q1,reer_ic37_41_cpi,63.79819
Denmark,DNK,1995-Q1,reer_ic37_41_cpi,102.27481
Estonia,EST,1995-Q1,reer_ic37_41_cpi,56.890955
Finland,FIN,1995-Q1,reer_ic37_41_cpi,111.83201
France,FRA,1995-Q1,reer_ic37_41_cpi,112.35185
Germany,DEU,1995-Q1,reer_ic37_41_cpi,122.7555
Hungary,HUN,1995-Q1,reer_ic37_41_cpi,77.02056999999999
Ireland,IRL,1995-Q1,reer_ic37_41_cpi,99.01035
Italy,ITA,1995-Q1,reer_ic37_41_cpi,90.78408999999999
Japan,JPN,1995-Q1,reer_ic37_41_cpi,186.6055
Latvia,LVA,1995-Q1,reer_ic37_41_cpi,63.537925
Lithuania,LTU,1995-Q1,reer_ic37_41_cpi,45.914705
Luxembourg,LUX,1995-Q1,reer_ic37_41_cpi,100.04308
Mexico,MEX,1995-Q1,reer_ic37_41_cpi,73.757925
Netherlands,NLD,1995-Q1,reer_ic37_41_cpi,103.80419
New Zealand,NZL,1995-Q1,reer_ic37_41_cpi,81.68515
Norway,NOR,1995-Q1,reer_ic37_41_cpi,111.18306
Poland,POL,1995-Q1,reer_ic37_41_cpi,73.60219000000001
Portugal,PRT,1995-Q1,reer_ic37_41_cpi,99.77353
Slovakia,SVK,1995-Q1,reer_ic37_41_cpi,50.59098
Slovenia,SVN,1995-Q1,reer_ic37_41_cpi,97.614665
South Korea,KOR,1995-Q1,reer_ic37_41_cpi,103.76711
Spain,ESP,1995-Q1,reer_ic37_41_cpi,93.423325
Sweden,SWE,1995-Q1,reer_ic37_41_cpi,110.77463
Switzerland,CHE,1995-Q1,reer_ic37_41_cpi,91.66636
Turkey,TUR,1995-Q1,reer_ic37_41_cpi,64.47274999999999
United Kingdom,GBR,1995-Q1,reer_ic37_41_cpi,90.392125
United States,USA,1995-Q1,reer_ic37_41_cpi,85.754565
Australia,AUS,1995-Q2,reer_ic37_41_cpi,67.088995
Austria,AUT,1995-Q2,reer_ic37_41_cpi,112.470145
Belgium,BEL,1995-Q2,reer_ic37_41_cpi,107.45900499999999
Canada,CAN,1995-Q2,reer_ic37_41_cpi,93.94324
Czechia,CZE,1995-Q2,reer_ic37_41_cpi,64.20266000000001
Denmark,DNK,1995-Q2,reer_ic37_41_cpi,105.06871000000001
Estonia,EST,1995-Q2,reer_ic37_41_cpi,60.163430000000005
Finland,FIN,1995-Q2,reer_ic37_41_cpi,113.831665
France,FRA,1995-Q2,reer_ic37_41_cpi,113.00690499999999
Germany,DEU,1995-Q2,reer_ic37_41_cpi,124.05759
Hungary,HUN,1995-Q2,reer_ic37_41_cpi,73.02789999999999
Ireland,IRL,1995-Q2,reer_ic37_41_cpi,98.956865
Italy,ITA,1995-Q2,reer_ic37_41_cpi,86.46539
Japan,JPN,1995-Q2,reer_ic37_41_cpi,206.47869
Latvia,LVA,1995-Q2,reer_ic37_41_cpi,66.755755
Lithuania,LTU,1995-Q2,reer_ic37_41_cpi,45.48086
Luxembourg,LUX,1995-Q2,reer_ic37_41_cpi,101.099925
Mexico,MEX,1995-Q2,reer_ic37_41_cpi,83.352175
Netherlands,NLD,1995-Q2,reer_ic37_41_cpi,105.16757000000001
New Zealand,NZL,1995-Q2,reer_ic37_41_cpi,81.96549999999999
Norway,NOR,1995-Q2,reer_ic37_41_cpi,111.702465
Poland,POL,1995-Q2,reer_ic37_41_cpi,75.34254
Portugal,PRT,1995-Q2,reer_ic37_41_cpi,99.744015
Slovakia,SVK,1995-Q2,reer_ic37_41_cpi,50.063625
Slovenia,SVN,1995-Q2,reer_ic37_41_cpi,100.09956
South Korea,KOR,1995-Q2,reer_ic37_41_cpi,102.928805
Spain,ESP,1995-Q2,reer_ic37_41_cpi,95.646695
Sweden,SWE,1995-Q2,reer_ic37_41_cpi,107.71848
Switzerland,CHE,1995-Q2,reer_ic37_41_cpi,94.07353
Turkey,TUR,1995-Q2,reer_ic37_41_cpi,67.05962
United Kingdom,GBR,1995-Q2,reer_ic37_41_cpi,88.02008000000001
United States,USA,1995-Q2,reer_ic37_41_cpi,80.85025
Australia,AUS,1995-Q3,reer_ic37_41_cpi,71.879055
Austria,AUT,1995-Q3,reer_ic37_41_cpi,111.76722000000001
Belgium,BEL,1995-Q3,reer_ic37_41_cpi,106.403255
Canada,CAN,1995-Q3,reer_ic37_41_cpi,95.53967
Czechia,CZE,1995-Q3,reer_ic37_41_cpi,63.925565
Denmark,DNK,1995-Q3,reer_ic37_41_cpi,104.20218
Estonia,EST,1995-Q3,reer_ic37_41_cpi,59.969170000000005
Finland,FIN,1995-Q3,reer_ic37_41_cpi,113.83971
France,FRA,1995-Q3,reer_ic37_41_cpi,113.49812
Germany,DEU,1995-Q3,reer_ic37_41_cpi,121.972065
Hungary,HUN,1995-Q3,reer_ic37_41_cpi,71.35757
Ireland,IRL,1995-Q3,reer_ic37_41_cpi,99.401015
Italy,ITA,1995-Q3,reer_ic37_41_cpi,91.43973
Japan,JPN,1995-Q3,reer_ic37_41_cpi,184.405305
Latvia,LVA,1995-Q3,reer_ic37_41_cpi,63.531015
Lithuania,LTU,1995-Q3,reer_ic37_41_cpi,45.997569999999996
Luxembourg,LUX,1995-Q3,reer_ic37_41_cpi,99.64645
Mexico,MEX,1995-Q3,reer_ic37_41_cpi,88.831045
Netherlands,NLD,1995-Q3,reer_ic37_41_cpi,103.62507500000001
New Zealand,NZL,1995-Q3,reer_ic37_41_cpi,82.860855
Norway,NOR,1995-Q3,reer_ic37_41_cpi,111.677775
Poland,POL,1995-Q3,reer_ic37_41_cpi,75.22954
Portugal,PRT,1995-Q3,reer_ic37_41_cpi,99.23934
Slovakia,SVK,1995-Q3,reer_ic37_41_cpi,50.331649999999996
Slovenia,SVN,1995-Q3,reer_ic37_41_cpi,98.19628
South Korea,KOR,1995-Q3,reer_ic37_41_cpi,105.94153
Spain,ESP,1995-Q3,reer_ic37_41_cpi,96.606125
Sweden,SWE,1995-Q3,reer_ic37_41_cpi,110.47809000000001
Switzerland,CHE,1995-Q3,reer_ic37_41_cpi,93.219045
Turkey,TUR,1995-Q3,reer_ic37_41_cpi,69.64400499999999
United Kingdom,GBR,1995-Q3,reer_ic37_41_cpi,87.77317
United States,USA,1995-Q3,reer_ic37_41_cpi,82.18895
Australia,AUS,1995-Q4,reer_ic37_41_cpi,74.97353000000001
Austria,AUT,1995-Q4,reer_ic37_41_cpi,110.591065
Belgium,BEL,1995-Q4,reer_ic37_41_cpi,106.328565
Canada,CAN,1995-Q4,reer_ic37_41_cpi,95.7175
Czechia,CZE,1995-Q4,reer_ic37_41_cpi,64.68782
Denmark,DNK,1995-Q4,reer_ic37_41_cpi,104.72470999999999
Estonia,EST,1995-Q4,reer_ic37_41_cpi,62.312005
Finland,FIN,1995-Q4,reer_ic37_41_cpi,112.664435
France,FRA,1995-Q4,reer_ic37_41_cpi,114.14583999999999
Germany,DEU,1995-Q4,reer_ic37_41_cpi,121.82351
Hungary,HUN,1995-Q4,reer_ic37_41_cpi,71.126475
Ireland,IRL,1995-Q4,reer_ic37_41_cpi,98.814535
Italy,ITA,1995-Q4,reer_ic37_41_cpi,92.77198000000001
Japan,JPN,1995-Q4,reer_ic37_41_cpi,169.433245
Latvia,LVA,1995-Q4,reer_ic37_41_cpi,63.40996
Lithuania,LTU,1995-Q4,reer_ic37_41_cpi,48.538375
Luxembourg,LUX,1995-Q4,reer_ic37_41_cpi,100.02602999999999
Mexico,MEX,1995-Q4,reer_ic37_41_cpi,80.352115
Netherlands,NLD,1995-Q4,reer_ic37_41_cpi,104.07747
New Zealand,NZL,1995-Q4,reer_ic37_41_cpi,83.18433999999999
Norway,NOR,1995-Q4,reer_ic37_41_cpi,111.46904
Poland,POL,1995-Q4,reer_ic37_41_cpi,76.903595
Portugal,PRT,1995-Q4,reer_ic37_41_cpi,99.00856999999999
Slovakia,SVK,1995-Q4,reer_ic37_41_cpi,50.932559999999995
Slovenia,SVN,1995-Q4,reer_ic37_41_cpi,95.48545
South Korea,KOR,1995-Q4,reer_ic37_41_cpi,108.71432
Spain,ESP,1995-Q4,reer_ic37_41_cpi,97.463175
Sweden,SWE,1995-Q4,reer_ic37_41_cpi,119.037695
Switzerland,CHE,1995-Q4,reer_ic37_41_cpi,95.618885
Turkey,TUR,1995-Q4,reer_ic37_41_cpi,71.708415
United Kingdom,GBR,1995-Q4,reer_ic37_41_cpi,87.13166
United States,USA,1995-Q4,reer_ic37_41_cpi,84.19229999999999
Australia,AUS,1996-Q1,reer_ic37_41_cpi,77.01547
Austria,AUT,1996-Q1,reer_ic37_41_cpi,109.20311000000001
Belgium,BEL,1996-Q1,reer_ic37_41_cpi,105.48308
Canada,CAN,1996-Q1,reer_ic37_41_cpi,94.76997
Czechia,CZE,1996-Q1,reer_ic37_41_cpi,65.758305000000007
Denmark,DNK,1996-Q1,reer_ic37_41_cpi,103.6788
Estonia,EST,1996-Q1,reer_ic37_41_cpi,65.672815
Finland,FIN,1996-Q1,reer_ic37_41_cpi,107.75227000000001
France,FRA,1996-Q1,reer_ic37_41_cpi,113.496065
Germany,DEU,1996-Q1,reer_ic37_41_cpi,120.12025
Hungary,HUN,1996-Q1,reer_ic37_41_cpi,73.24577500000001
Ireland,IRL,1996-Q1,reer_ic37_41_cpi,99.43296
Italy,ITA,1996-Q1,reer_ic37_41_cpi,96.45921999999999
Japan,JPN,1996-Q1,reer_ic37_41_cpi,161.82000499999998
Latvia,LVA,1996-Q1,reer_ic37_41_cpi,66.54469499999999
Lithuania,LTU,1996-Q1,reer_ic37_41_cpi,52.777395
Luxembourg,LUX,1996-Q1,reer_ic37_41_cpi,98.404635
Mexico,MEX,1996-Q1,reer_ic37_41_cpi,84.878965
Netherlands,NLD,1996-Q1,reer_ic37_41_cpi,103.10665
New Zealand,NZL,1996-Q1,reer_ic37_41_cpi,86.65492499999999
Norway,NOR,1996-Q1,reer_ic37_41_cpi,110.12015
Poland,POL,1996-Q1,reer_ic37_41_cpi,80.445565
Portugal,PRT,1996-Q1,reer_ic37_41_cpi,99.068715
Slovakia,SVK,1996-Q1,reer_ic37_41_cpi,50.921895000000006
Slovenia,SVN,1996-Q1,reer_ic37_41_cpi,92.23763
South Korea,KOR,1996-Q1,reer_ic37_41_cpi,110.355445
Spain,ESP,1996-Q1,reer_ic37_41_cpi,98.375975
Sweden,SWE,1996-Q1,reer_ic37_41_cpi,118.8625
Switzerland,CHE,1996-Q1,reer_ic37_41_cpi,93.74488
Turkey,TUR,1996-Q1,reer_ic37_41_cpi,70.1668
