obs_dy_h,obs_dy_f,obs_dc_h,obs_dc_f,obs_pi_h,obs_pi_f,obs_r_h,obs_r_f,obs_de,obs_tb_h,obs_tb_f
0.256572,0.836358656,0.8054469499856656,0.9814768944109789,0.8980355704904133,0.0429084681465213,0.5625,0.4558333333333333,0.852203766125142,0.7407061471802658,-0.5768838277554151
0.497557,0.612706584,0.011050536295309266,0.8235430305888766,0.22989483737567157,0.3158869894364578,0.5625,0.4583333333333334,0.893318972983815,0.9897160519585353,-0.7762427062261512
0.446988,0.40651143,0.14931757398551593,0.36807192145562195,0.5887458349203912,0.8627936851867505,0.5625,0.44,0.9597454454165882,1.1239417385187904,-0.870009882015495
0.200816,0.123605053,0.24036593899555173,-0.06750683624338524,0.7616474672981206,1.1161102081285905,0.4375,0.37166666666666665,0.978876545355565,1.1331038592749092,-0.9009001354486836
-0.163047,0.526641986,0.35250764092768955,0.7834551397775313,0.9396514870902672,0.6991702612217046,0.375,0.31583333333333335,1.0478519786585625,0.9859157533616326,-0.757977996409273
0.098457,0.885621673,0.30037582380692,1.7484683398288428,-0.12821022822115438,-0.5636512971864408,0.25,0.2916666666666667,1.1038435681534406,1.1069972416004954,-0.8523553434274688
0.672976,1.663199957,0.5923875351729934,0.8270675405407115,0.7526357433391442,1.0636676489469619,0.25,0.2675,1.0982597492429649,1.1697246104080028,-0.8873620711453963
0.669774,1.160721398,-0.3567061212179254,0.5077277309560113,0.6566583768475202,0.6577281344277599,0.25,0.2758333333333334,1.1622363569148013,1.1812196975172848,-0.9124936255989935
0.643431,0.566651454,0.8549401385971029,1.3289555137432352,0.6830010758222199,0.5788619416881312,0.25,0.2633333333333334,1.2174173015396588,1.09248280603002,-0.8198207482590794
0.661064,0.774952324,0.23309123311497865,0.15291966160429143,0.6147950935859126,0.9428957646578991,0.25,0.31166666666666665,1.1771831957690526,1.2448580002576046,-0.9395916614837292
0.291208,0.948593889,0.43003477061995826,1.273658579439299,0.4995362480654227,0.3413544685321664,0.25,0.42583333333333334,1.1928952228847314,1.2135740843872589,-0.9036783868588598
0.496572,1.020208129,0.4510967517880613,0.6752311513572917,0.750639491622445,1.3275948032572604,0.25,0.5625,1.2747457350601812,1.2578094805642148,-0.9565941424613725
0.286325,1.109363354,1.0536407291526033,0.7318334108718657,0.44780870223163854,0.5086688244902646,0.25,0.6958333333333333,1.2874048623720198,1.1471516146138172,-0.8418588969536812
0.673475,0.492624455,0.5647938012821649,1.2917594993275061,0.45605281860981034,0.34397383761158823,0.25,0.8075,1.2349003428359848,1.2900914920425133,-0.9560238993753505
0.784697,0.783814035,0.13443552740114784,-0.4699230494791106,1.0051758763153125,2.45050573612096,0.25,0.9341666666666667,1.2131795143374071,1.402524884802738,-1.0130076024111654
0.732489,0.55551654,0.5844946569030294,1.0023164666150133,0.44573530048703064,0.058097745452767566,0.3125,1.0741666666666667,1.1782456260124228,1.3370970390322308,-0.9994580108911193
1.021603,1.345383768,1.2150287289700512,1.059953038714982,0.3900873843465546,0.49201002911758934,0.375,1.18,1.1935623122669414,1.1773444763163627,-0.8539192491688332
1.208877,0.258752763,0.4813416018053097,0.1448492073177669,0.7168488338736204,1.285377864390053,0.4375,1.2941666666666667,1.2545378323727623,1.2078146494289703,-0.881432769236548
