Pays,iso3,date,indicator,value
South Korea,KOR,1962-Q4,gdp_deflator,1.06582908451807
Spain,ESP,1962-Q4,gdp_deflator,2.67636970766918
Sweden,SWE,1962-Q4,gdp_deflator,7.47695408976466
Switzerland,CHE,1962-Q4,gdp_deflator,24.750032427193
Turkey,TUR,1962-Q4,gdp_deflator,6.10397521461267e-5
United Kingdom,GBR,1962-Q4,gdp_deflator,4.69937250793741
United States,USA,1962-Q4,gdp_deflator,14.970703597161
Australia,AUS,1963-Q4,gdp_deflator,5.31443217904963
Austria,AUT,1963-Q4,gdp_deflator,17.1170026821379
Belgium,BEL,1963-Q4,gdp_deflator,14.694396348318
Canada,CAN,1963-Q4,gdp_deflator,10.9518270212074
Chile,CHL,1963-Q4,gdp_deflator,4.16893468600326e-5
Colombia,COL,1963-Q4,gdp_deflator,0.045330755278338
Costa Rica,CRI,1963-Q4,gdp_deflator,0.110358001549994
Denmark,DNK,1963-Q4,gdp_deflator,9.03191372894624
Finland,FIN,1963-Q4,gdp_deflator,6.92392290466375
France,FRA,1963-Q4,gdp_deflator,10.8582527664232
Germany,DEU,1963-Q4,gdp_deflator,22.7765549509437
Greece,GRC,1963-Q4,gdp_deflator,1.08269415958882
Hungary,HUN,1963-Q4,gdp_deflator,2.55114115826969
Iceland,ISL,1963-Q4,gdp_deflator,0.0332099362590695
Ireland,IRL,1963-Q4,gdp_deflator,4.43393605642228
Israel,ISR,1963-Q4,gdp_deflator,0.00104068207292327
Italy,ITA,1963-Q4,gdp_deflator,3.42835861441734
Japan,JPN,1963-Q4,gdp_deflator,27.5321509785954
Luxembourg,LUX,1963-Q4,gdp_deflator,10.6862590673984
Mexico,MEX,1963-Q4,gdp_deflator,0.00621819572389417
Netherlands,NLD,1963-Q4,gdp_deflator,15.4998511530285
New Zealand,NZL,1963-Q4,gdp_deflator,4.46766678225447
Norway,NOR,1963-Q4,gdp_deflator,7.16362895231954
Portugal,PRT,1963-Q4,gdp_deflator,1.3707793439671
South Korea,KOR,1963-Q4,gdp_deflator,1.38612491619398
Spain,ESP,1963-Q4,gdp_deflator,2.88634093932606
Sweden,SWE,1963-Q4,gdp_deflator,7.68346016660744
Switzerland,CHE,1963-Q4,gdp_deflator,25.9498546591235
Turkey,TUR,1963-Q4,gdp_deflator,6.49564865528702e-5
United Kingdom,GBR,1963-Q4,gdp_deflator,4.77472807694846
United States,USA,1963-Q4,gdp_deflator,15.133642640916
Australia,AUS,1964-Q4,gdp_deflator,5.48877202846259
Austria,AUT,1964-Q4,gdp_deflator,17.6619717969957
Belgium,BEL,1964-Q4,gdp_deflator,15.3765729070016
Canada,CAN,1964-Q4,gdp_deflator,11.2619629587512
Chile,CHL,1964-Q4,gdp_deflator,6.15569928630398e-5
Colombia,COL,1964-Q4,gdp_deflator,0.0527377460247212
Costa Rica,CRI,1964-Q4,gdp_deflator,0.112842355186994
Denmark,DNK,1964-Q4,gdp_deflator,9.4483780909833
Finland,FIN,1964-Q4,gdp_deflator,7.4207675757957
France,FRA,1964-Q4,gdp_deflator,11.2999787871386
Germany,DEU,1964-Q4,gdp_deflator,23.470457934503
Greece,GRC,1964-Q4,gdp_deflator,1.11956690646706
Hungary,HUN,1964-Q4,gdp_deflator,2.56132162260916
Iceland,ISL,1964-Q4,gdp_deflator,0.0385959675951944
Ireland,IRL,1964-Q4,gdp_deflator,4.86229765910143
Israel,ISR,1964-Q4,gdp_deflator,0.00109732725409809
Italy,ITA,1964-Q4,gdp_deflator,3.6508525038773
Japan,JPN,1964-Q4,gdp_deflator,28.9992583276642
Luxembourg,LUX,1964-Q4,gdp_deflator,11.3097300626928
Mexico,MEX,1964-Q4,gdp_deflator,0.00657886373197756
Netherlands,NLD,1964-Q4,gdp_deflator,16.8449264928001
New Zealand,NZL,1964-Q4,gdp_deflator,4.61355066983022
Norway,NOR,1964-Q4,gdp_deflator,7.50190501877232
Portugal,PRT,1964-Q4,gdp_deflator,1.39830993988648
South Korea,KOR,1964-Q4,gdp_deflator,1.80768295647946
Spain,ESP,1964-Q4,gdp_deflator,3.06686192684426
Sweden,SWE,1964-Q4,gdp_deflator,8.02141967046389
Switzerland,CHE,1964-Q4,gdp_deflator,27.3279808894018
Turkey,TUR,1964-Q4,gdp_deflator,6.64845466639941e-5
United Kingdom,GBR,1964-Q4,gdp_deflator,4.93157612225145
United States,USA,1964-Q4,gdp_deflator,15.3612434974725
Australia,AUS,1965-Q4,gdp_deflator,5.65252096545749
Austria,AUT,1965-Q4,gdp_deflator,18.6018386927485
Belgium,BEL,1965-Q4,gdp_deflator,16.1608877505305
Canada,CAN,1965-Q4,gdp_deflator,11.6871056946133
Chile,CHL,1965-Q4,gdp_deflator,8.53076254690344e-5
Colombia,COL,1965-Q4,gdp_deflator,0.0572755545451305
Costa Rica,CRI,1965-Q4,gdp_deflator,0.113558339267941
Denmark,DNK,1965-Q4,gdp_deflator,10.1510038729917
Finland,FIN,1965-Q4,gdp_deflator,7.79353424688857
France,FRA,1965-Q4,gdp_deflator,11.644121820956
Germany,DEU,1965-Q4,gdp_deflator,24.3703473714647
Greece,GRC,1965-Q4,gdp_deflator,1.16522509017741
Hungary,HUN,1965-Q4,gdp_deflator,1.78812284222671
Iceland,ISL,1965-Q4,gdp_deflator,0.0433787949104865
Ireland,IRL,1965-Q4,gdp_deflator,5.07885912923556
Israel,ISR,1965-Q4,gdp_deflator,0.00108297570157789
Italy,ITA,1965-Q4,gdp_deflator,3.80408025096513
Japan,JPN,1965-Q4,gdp_deflator,30.4889088415604
Luxembourg,LUX,1965-Q4,gdp_deflator,11.6261124538087
Mexico,MEX,1965-Q4,gdp_deflator,0.00668113651415727
Netherlands,NLD,1965-Q4,gdp_deflator,17.4129037619604
New Zealand,NZL,1965-Q4,gdp_deflator,4.69932355853831
Norway,NOR,1965-Q4,gdp_deflator,7.8600935906184
Portugal,PRT,1965-Q4,gdp_deflator,1.45245473052084
South Korea,KOR,1965-Q4,gdp_deflator,1.8958677423813
Spain,ESP,1965-Q4,gdp_deflator,3.3479357326884
Sweden,SWE,1965-Q4,gdp_deflator,8.50215461911048
Switzerland,CHE,1965-Q4,gdp_deflator,28.3656902987082
Turkey,TUR,1965-Q4,gdp_deflator,6.9222284332464e-5
United Kingdom,GBR,1965-Q4,gdp_deflator,5.20807945458685
United States,USA,1965-Q4,gdp_deflator,15.6561526150655
Australia,AUS,1966-Q4,gdp_deflator,5.80440125695867
Austria,AUT,1966-Q4,gdp_deflator,19.182656194562
Belgium,BEL,1966-Q4,gdp_deflator,16.8212240373345
Canada,CAN,1966-Q4,gdp_deflator,12.2622169871749
Chile,CHL,1966-Q4,gdp_deflator,1.0955590249047e-4
Colombia,COL,1966-Q4,gdp_deflator,0.065939826607765
Costa Rica,CRI,1966-Q4,gdp_deflator,0.11588528387968
Denmark,DNK,1966-Q4,gdp_deflator,10.8445873245796
Finland,FIN,1966-Q4,gdp_deflator,8.16168861767149
France,FRA,1966-Q4,gdp_deflator,11.9916292962388
Germany,DEU,1966-Q4,gdp_deflator,25.2039122525662
Greece,GRC,1966-Q4,gdp_deflator,1.22257046766026
Hungary,HUN,1966-Q4,gdp_deflator,1.83962301882394
Iceland,ISL,1966-Q4,gdp_deflator,0.047900955375704
Ireland,IRL,1966-Q4,gdp_deflator,5.30447164571324
Israel,ISR,1966-Q4,gdp_deflator,0.00117752839196648
Italy,ITA,1966-Q4,gdp_deflator,3.88900239720096
Japan,JPN,1966-Q4,gdp_deflator,32.0044726044389
Luxembourg,LUX,1966-Q4,gdp_deflator,12.0833672520139
Mexico,MEX,1966-Q4,gdp_deflator,0.00701231959647115
Netherlands,NLD,1966-Q4,gdp_deflator,18.4547680319413
New Zealand,NZL,1966-Q4,gdp_deflator,4.5866487984979
Norway,NOR,1966-Q4,gdp_deflator,8.17269593582028
Portugal,PRT,1966-Q4,gdp_deflator,1.52890092599426
South Korea,KOR,1966-Q4,gdp_deflator,2.17180237144556
Spain,ESP,1966-Q4,gdp_deflator,3.6215874073305
Sweden,SWE,1966-Q4,gdp_deflator,9.05887403721313
Switzerland,CHE,1966-Q4,gdp_deflator,29.7286644670348
Turkey,TUR,1966-Q4,gdp_deflator,7.33393424594106e-5
United Kingdom,GBR,1966-Q4,gdp_deflator,5.46752183292029
United States,USA,1966-Q4,gdp_deflator,16.1099898064283
Australia,AUS,1967-Q4,gdp_deflator,6.08656376682296
Austria,AUT,1967-Q4,gdp_deflator,19.8056633219989
Belgium,BEL,1967-Q4,gdp_deflator,17.3583982097461
Canada,CAN,1967-Q4,gdp_deflator,12.8083931563059
Chile,CHL,1967-Q4,gdp_deflator,1.3703934052595e-4
Colombia,COL,1967-Q4,gdp_deflator,0.0730152910198645
Costa Rica,CRI,1967-Q4,gdp_deflator,0.118524919682722
Denmark,DNK,1967-Q4,gdp_deflator,11.2895593773164
Finland,FIN,1967-Q4,gdp_deflator,8.76255738750169
France,FRA,1967-Q4,gdp_deflator,12.3614886403717
Germany,DEU,1967-Q4,gdp_deflator,25.6044163760903
Greece,GRC,1967-Q4,gdp_deflator,1.2490982623832
Hungary,HUN,1967-Q4,gdp_deflator,1.85044238425684
Iceland,ISL,1967-Q4,gdp_deflator,0.0492210849964489
Ireland,IRL,1967-Q4,gdp_deflator,5.47643679648379
Israel,ISR,1967-Q4,gdp_deflator,0.0011576495517875
Italy,ITA,1967-Q4,gdp_deflator,3.99693228550605
Japan,JPN,1967-Q4,gdp_deflator,33.7632432158466
Luxembourg,LUX,1967-Q4,gdp_deflator,12.1354425998709
Mexico,MEX,1967-Q4,gdp_deflator,0.0072346101487552
Netherlands,NLD,1967-Q4,gdp_deflator,19.2312742983466
New Zealand,NZL,1967-Q4,gdp_deflator,4.98570344306705
Norway,NOR,1967-Q4,gdp_deflator,8.41501436195324
Portugal,PRT,1967-Q4,gdp_deflator,1.58908855375664
South Korea,KOR,1967-Q4,gdp_deflator,2.45392633773454
Spain,ESP,1967-Q4,gdp_deflator,3.93078836670344
Sweden,SWE,1967-Q4,gdp_deflator,9.51274533078348
Switzerland,CHE,1967-Q4,gdp_deflator,31.0525757079624
Turkey,TUR,1967-Q4,gdp_deflator,7.7695619114428e-5
United Kingdom,GBR,1967-Q4,gdp_deflator,5.61948950414537
United States,USA,1967-Q4,gdp_deflator,16.6176605909912
Australia,AUS,1968-Q4,gdp_deflator,6.22380419473297
Austria,AUT,1968-Q4,gdp_deflator,20.3677543752616
Belgium,BEL,1968-Q4,gdp_deflator,17.813238456626
Canada,CAN,1968-Q4,gdp_deflator,13.3290714970646
Chile,CHL,1968-Q4,gdp_deflator,1.8307399639757e-4
Colombia,COL,1968-Q4,gdp_deflator,0.0792014209872596
Costa Rica,CRI,1968-Q4,gdp_deflator,0.120886562687332
Denmark,DNK,1968-Q4,gdp_deflator,11.8916647449743
Finland,FIN,1968-Q4,gdp_deflator,9.81965185122981
France,FRA,1968-Q4,gdp_deflator,12.8877678355244
Germany,DEU,1968-Q4,gdp_deflator,26.1389945821601
Greece,GRC,1968-Q4,gdp_deflator,1.26754955476938
Hungary,HUN,1968-Q4,gdp_deflator,1.93109062897037
Iceland,ISL,1968-Q4,gdp_deflator,0.05598466109656
Ireland,IRL,1968-Q4,gdp_deflator,5.70845311888112
Israel,ISR,1968-Q4,gdp_deflator,0.00114145062503132
Italy,ITA,1968-Q4,gdp_deflator,4.06625712266342
Japan,JPN,1968-Q4,gdp_deflator,35.4240109553685
Luxembourg,LUX,1968-Q4,gdp_deflator,12.7442356170442
Mexico,MEX,1968-Q4,gdp_deflator,0.00730858647260254
Netherlands,NLD,1968-Q4,gdp_deflator,20.0383459643043
New Zealand,NZL,1968-Q4,gdp_deflator,5.27536712388601
Norway,NOR,1968-Q4,gdp_deflator,8.78728423446779
Portugal,PRT,1968-Q4,gdp_deflator,1.61567097083776
South Korea,KOR,1968-Q4,gdp_deflator,2.79240366690181
Spain,ESP,1968-Q4,gdp_deflator,4.16314238136615
Sweden,SWE,1968-Q4,gdp_deflator,9.7402443850248
Switzerland,CHE,1968-Q4,gdp_deflator,32.0093384169707
Turkey,TUR,1968-Q4,gdp_deflator,8.13940519789147e-5
United Kingdom,GBR,1968-Q4,gdp_deflator,5.8404084736359
United States,USA,1968-Q4,gdp_deflator,17.3433851101733
Australia,AUS,1969-Q4,gdp_deflator,6.51941893258974
Austria,AUT,1969-Q4,gdp_deflator,20.9245217844847
Belgium,BEL,1969-Q4,gdp_deflator,18.5300122325123
Canada,CAN,1969-Q4,gdp_deflator,13.9724368244152
Chile,CHL,1969-Q4,gdp_deflator,2.5579193487578e-4
Colombia,COL,1969-Q4,gdp_deflator,0.0858897097930091
Costa Rica,CRI,1969-Q4,gdp_deflator,0.126408735283748
Denmark,DNK,1969-Q4,gdp_deflator,12.7087464844794
Finland,FIN,1969-Q4,gdp_deflator,10.2271994053958
France,FRA,1969-Q4,gdp_deflator,13.8364072029755
Germany,DEU,1969-Q4,gdp_deflator,27.2391817143607
Greece,GRC,1969-Q4,gdp_deflator,1.30787378323871
Hungary,HUN,1969-Q4,gdp_deflator,2.00741206934689
Iceland,ISL,1969-Q4,gdp_deflator,0.0676609042347099
Ireland,IRL,1969-Q4,gdp_deflator,6.22857258855012
Israel,ISR,1969-Q4,gdp_deflator,0.0011596711751682
Italy,ITA,1969-Q4,gdp_deflator,4.23099407492191
Japan,JPN,1969-Q4,gdp_deflator,36.9944985982165
Luxembourg,LUX,1969-Q4,gdp_deflator,13.418789767273
Mexico,MEX,1969-Q4,gdp_deflator,0.00781798118028257
Netherlands,NLD,1969-Q4,gdp_deflator,21.3227983317915
New Zealand,NZL,1969-Q4,gdp_deflator,5.32420154983493
Norway,NOR,1969-Q4,gdp_deflator,9.1559580504708
Portugal,PRT,1969-Q4,gdp_deflator,1.73518536895584
South Korea,KOR,1969-Q4,gdp_deflator,3.18728798428852
Spain,ESP,1969-Q4,gdp_deflator,4.37684691437714
Sweden,SWE,1969-Q4,gdp_deflator,10.0731864679967
Switzerland,CHE,1969-Q4,gdp_deflator,32.8333841512984
Turkey,TUR,1969-Q4,gdp_deflator,8.69909650958657e-5
United Kingdom,GBR,1969-Q4,gdp_deflator,6.19212007069422
United States,USA,1969-Q4,gdp_deflator,18.2033548576265
