Pays,iso3,date,indicator,value
Canada,CAN,1961-Q4,final_consumption_expenditure,48649
South Korea,KOR,1961-Q4,final_consumption_expenditure,319800
United Kingdom,GBR,1961-Q4,final_consumption_expenditure,16069
United States,USA,1961-Q4,final_consumption_expenditure,289665.1
Australia,AUS,1962-Q1,final_consumption_expenditure,12493.5
Canada,CAN,1962-Q1,final_consumption_expenditure,47482
South Korea,KOR,1962-Q1,final_consumption_expenditure,338330
United Kingdom,GBR,1962-Q1,final_consumption_expenditure,16480
United States,USA,1962-Q1,final_consumption_expenditure,286382.6
Australia,AUS,1962-Q2,final_consumption_expenditure,13039.4
Canada,CAN,1962-Q2,final_consumption_expenditure,49377
South Korea,KOR,1962-Q2,final_consumption_expenditure,330280
United Kingdom,GBR,1962-Q2,final_consumption_expenditure,16949
United States,USA,1962-Q2,final_consumption_expenditure,294951.8
Australia,AUS,1962-Q3,final_consumption_expenditure,13019
Canada,CAN,1962-Q3,final_consumption_expenditure,48371
South Korea,KOR,1962-Q3,final_consumption_expenditure,346520
United Kingdom,GBR,1962-Q3,final_consumption_expenditure,16886
United States,USA,1962-Q3,final_consumption_expenditure,296248.4
Australia,AUS,1962-Q4,final_consumption_expenditure,13728.7
Canada,CAN,1962-Q4,final_consumption_expenditure,52015
South Korea,KOR,1962-Q4,final_consumption_expenditure,403400
United Kingdom,GBR,1962-Q4,final_consumption_expenditure,17088
United States,USA,1962-Q4,final_consumption_expenditure,307779.4
Australia,AUS,1963-Q1,final_consumption_expenditure,13338.2
Canada,CAN,1963-Q1,final_consumption_expenditure,50150
South Korea,KOR,1963-Q1,final_consumption_expenditure,396840
United Kingdom,GBR,1963-Q1,final_consumption_expenditure,17204
United States,USA,1963-Q1,final_consumption_expenditure,301831.1
Australia,AUS,1963-Q2,final_consumption_expenditure,13886.6
Canada,CAN,1963-Q2,final_consumption_expenditure,52525
South Korea,KOR,1963-Q2,final_consumption_expenditure,406440
United Kingdom,GBR,1963-Q2,final_consumption_expenditure,17738
United States,USA,1963-Q2,final_consumption_expenditure,309356.6
Australia,AUS,1963-Q3,final_consumption_expenditure,14116.7
Canada,CAN,1963-Q3,final_consumption_expenditure,52010
South Korea,KOR,1963-Q3,final_consumption_expenditure,511410
United Kingdom,GBR,1963-Q3,final_consumption_expenditure,18020
United States,USA,1963-Q3,final_consumption_expenditure,313566.5
Australia,AUS,1963-Q4,final_consumption_expenditure,14786.7
Canada,CAN,1963-Q4,final_consumption_expenditure,55925
South Korea,KOR,1963-Q4,final_consumption_expenditure,579720
United Kingdom,GBR,1963-Q4,final_consumption_expenditure,18280
United States,USA,1963-Q4,final_consumption_expenditure,324104.1
Australia,AUS,1964-Q1,final_consumption_expenditure,14456.4
Canada,CAN,1964-Q1,final_consumption_expenditure,54553
South Korea,KOR,1964-Q1,final_consumption_expenditure,647640
United Kingdom,GBR,1964-Q1,final_consumption_expenditure,18563
United States,USA,1964-Q1,final_consumption_expenditure,322735.4
Australia,AUS,1964-Q2,final_consumption_expenditure,15181.9
Canada,CAN,1964-Q2,final_consumption_expenditure,56186
South Korea,KOR,1964-Q2,final_consumption_expenditure,660040
United Kingdom,GBR,1964-Q2,final_consumption_expenditure,18848
United States,USA,1964-Q2,final_consumption_expenditure,332423.6
Australia,AUS,1964-Q3,final_consumption_expenditure,15391.4
Canada,CAN,1964-Q3,final_consumption_expenditure,56041
South Korea,KOR,1964-Q3,final_consumption_expenditure,647000
United Kingdom,GBR,1964-Q3,final_consumption_expenditure,19260
United States,USA,1964-Q3,final_consumption_expenditure,337966.3
Australia,AUS,1964-Q4,final_consumption_expenditure,16344
Canada,CAN,1964-Q4,final_consumption_expenditure,60037
South Korea,KOR,1964-Q4,final_consumption_expenditure,745240
United Kingdom,GBR,1964-Q4,final_consumption_expenditure,19721
United States,USA,1964-Q4,final_consumption_expenditure,347141.1
Australia,AUS,1965-Q1,final_consumption_expenditure,15818.7
Canada,CAN,1965-Q1,final_consumption_expenditure,57964
South Korea,KOR,1965-Q1,final_consumption_expenditure,735600
United Kingdom,GBR,1965-Q1,final_consumption_expenditure,20056
United States,USA,1965-Q1,final_consumption_expenditure,344919.1
Australia,AUS,1965-Q2,final_consumption_expenditure,16451.7
Canada,CAN,1965-Q2,final_consumption_expenditure,61251
South Korea,KOR,1965-Q2,final_consumption_expenditure,720800
United Kingdom,GBR,1965-Q2,final_consumption_expenditure,20337
United States,USA,1965-Q2,final_consumption_expenditure,356114.8
Australia,AUS,1965-Q3,final_consumption_expenditure,16798.1
Canada,CAN,1965-Q3,final_consumption_expenditure,61079
South Korea,KOR,1965-Q3,final_consumption_expenditure,772950
United Kingdom,GBR,1965-Q3,final_consumption_expenditure,20773
United States,USA,1965-Q3,final_consumption_expenditure,362232.4
Australia,AUS,1965-Q4,final_consumption_expenditure,17606.1
Canada,CAN,1965-Q4,final_consumption_expenditure,66040
South Korea,KOR,1965-Q4,final_consumption_expenditure,855850
United Kingdom,GBR,1965-Q4,final_consumption_expenditure,21160
United States,USA,1965-Q4,final_consumption_expenditure,381842.8
Australia,AUS,1966-Q1,final_consumption_expenditure,16879.7
Canada,CAN,1966-Q1,final_consumption_expenditure,64574
South Korea,KOR,1966-Q1,final_consumption_expenditure,865450
United Kingdom,GBR,1966-Q1,final_consumption_expenditure,21490
United States,USA,1966-Q1,final_consumption_expenditure,378308
Australia,AUS,1966-Q2,final_consumption_expenditure,17631
Canada,CAN,1966-Q2,final_consumption_expenditure,67411
South Korea,KOR,1966-Q2,final_consumption_expenditure,875400
United Kingdom,GBR,1966-Q2,final_consumption_expenditure,21974
United States,USA,1966-Q2,final_consumption_expenditure,388708.3
Australia,AUS,1966-Q3,final_consumption_expenditure,18079.2
Canada,CAN,1966-Q3,final_consumption_expenditure,67856
