Pays,iso3,date,indicator,value
Germany,DEU,1961-Q2,trade_balance_usd_billion,0.41854586
Greece,GRC,1961-Q2,trade_balance_usd_billion,-0.12409437000000001
Iceland,ISL,1961-Q2,trade_balance_usd_billion,-0.0021362507
Ireland,IRL,1961-Q2,trade_balance_usd_billion,-0.05940181
Italy,ITA,1961-Q2,trade_balance_usd_billion,-0.30253843
Japan,JPN,1961-Q2,trade_balance_usd_billion,-0.35504184
Netherlands,NLD,1961-Q2,trade_balance_usd_billion,-0.21207944
New Zealand,NZL,1961-Q2,trade_balance_usd_billion,-0.052193281
Portugal,PRT,1961-Q2,trade_balance_usd_billion,-0.0990225
South Korea,KOR,1961-Q2,trade_balance_usd_billion,-0.08369475
Sweden,SWE,1961-Q2,trade_balance_usd_billion,-0.0437797604
Switzerland,CHE,1961-Q2,trade_balance_usd_billion,-0.15189813
Turkey,TUR,1961-Q2,trade_balance_usd_billion,-0.029519274999999998
United Kingdom,GBR,1961-Q2,trade_balance_usd_billion,-0.4691289
United States,USA,1961-Q2,trade_balance_usd_billion,1.3358
Australia,AUS,1961-Q3,trade_balance_usd_billion,0.17194797
Austria,AUT,1961-Q3,trade_balance_usd_billion,-0.06876029
Belgium,BEL,1961-Q3,trade_balance_usd_billion,-0.024566468
Canada,CAN,1961-Q3,trade_balance_usd_billion,0.087160204
Denmark,DNK,1961-Q3,trade_balance_usd_billion,-0.06966253
Finland,FIN,1961-Q3,trade_balance_usd_billion,-0.031937968
Germany,DEU,1961-Q3,trade_balance_usd_billion,0.4803984
Greece,GRC,1961-Q3,trade_balance_usd_billion,-0.11094570000000001
Iceland,ISL,1961-Q3,trade_balance_usd_billion,-0.0033887989
Ireland,IRL,1961-Q3,trade_balance_usd_billion,-0.05802258
Italy,ITA,1961-Q3,trade_balance_usd_billion,-0.26190433
Japan,JPN,1961-Q3,trade_balance_usd_billion,-0.46252210000000005
Netherlands,NLD,1961-Q3,trade_balance_usd_billion,-0.16698297
New Zealand,NZL,1961-Q3,trade_balance_usd_billion,-0.01142254972
