Pays,iso3,date,indicator,value
Canada,CAN,1958-Q1,trade_balance_usd_billion,-0.05143423
Denmark,DNK,1958-Q1,trade_balance_usd_billion,-0.0075271919999999985
Finland,FIN,1958-Q1,trade_balance_usd_billion,0.010102237
Germany,DEU,1958-Q1,trade_balance_usd_billion,0.19545705
Greece,GRC,1958-Q1,trade_balance_usd_billion,-0.09681862
Iceland,ISL,1958-Q1,trade_balance_usd_billion,-0.011862387
Ireland,IRL,1958-Q1,trade_balance_usd_billion,-0.03767221
Italy,ITA,1958-Q1,trade_balance_usd_billion,-0.15951878
Japan,JPN,1958-Q1,trade_balance_usd_billion,-0.053579623
Netherlands,NLD,1958-Q1,trade_balance_usd_billion,-0.11003001000000001
New Zealand,NZL,1958-Q1,trade_balance_usd_billion,-0.029192704
Portugal,PRT,1958-Q1,trade_balance_usd_billion,-0.05082392
South Korea,KOR,1958-Q1,trade_balance_usd_billion,-0.10129798
Sweden,SWE,1958-Q1,trade_balance_usd_billion,-0.11334090999999999
Switzerland,CHE,1958-Q1,trade_balance_usd_billion,-0.04723649
Turkey,TUR,1958-Q1,trade_balance_usd_billion,-0.03692902
United Kingdom,GBR,1958-Q1,trade_balance_usd_billion,-0.24270058
United States,USA,1958-Q1,trade_balance_usd_billion,1.0042
Australia,AUS,1958-Q2,trade_balance_usd_billion,-0.04675759
Austria,AUT,1958-Q2,trade_balance_usd_billion,-0.04546898
Belgium,BEL,1958-Q2,trade_balance_usd_billion,-0.053326884000000005
Canada,CAN,1958-Q2,trade_balance_usd_billion,0.027763139
Denmark,DNK,1958-Q2,trade_balance_usd_billion,0.001377727
Finland,FIN,1958-Q2,trade_balance_usd_billion,0.007021388
Germany,DEU,1958-Q2,trade_balance_usd_billion,0.3403431
Greece,GRC,1958-Q2,trade_balance_usd_billion,-0.08501242
Iceland,ISL,1958-Q2,trade_balance_usd_billion,-0.0035643080999999996
Ireland,IRL,1958-Q2,trade_balance_usd_billion,-0.044857709999999995
Italy,ITA,1958-Q2,trade_balance_usd_billion,-0.13688551999999998
Japan,JPN,1958-Q2,trade_balance_usd_billion,-0.016451833399999997
Netherlands,NLD,1958-Q2,trade_balance_usd_billion,-0.10248005
New Zealand,NZL,1958-Q2,trade_balance_usd_billion,-0.032237077
Portugal,PRT,1958-Q2,trade_balance_usd_billion,-0.04148925
South Korea,KOR,1958-Q2,trade_balance_usd_billion,-0.09496927
Sweden,SWE,1958-Q2,trade_balance_usd_billion,-0.050526983
Switzerland,CHE,1958-Q2,trade_balance_usd_billion,-0.04793617
Turkey,TUR,1958-Q2,trade_balance_usd_billion,-0.035639815
United Kingdom,GBR,1958-Q2,trade_balance_usd_billion,-0.3207934
United States,USA,1958-Q2,trade_balance_usd_billion,0.9258
Australia,AUS,1958-Q3,trade_balance_usd_billion,6.085220999999996e-4
Austria,AUT,1958-Q3,trade_balance_usd_billion,-0.050482312
Belgium,BEL,1958-Q3,trade_balance_usd_billion,-0.0111615829
Canada,CAN,1958-Q3,trade_balance_usd_billion,-0.042103666
Denmark,DNK,1958-Q3,trade_balance_usd_billion,-0.0417168
Finland,FIN,1958-Q3,trade_balance_usd_billion,0.02260389
Germany,DEU,1958-Q3,trade_balance_usd_billion,0.34535453
Greece,GRC,1958-Q3,trade_balance_usd_billion,-0.07766648000000001
Iceland,ISL,1958-Q3,trade_balance_usd_billion,-0.0012157866
Ireland,IRL,1958-Q3,trade_balance_usd_billion,-0.04558926
Italy,ITA,1958-Q3,trade_balance_usd_billion,-0.16058928
Japan,JPN,1958-Q3,trade_balance_usd_billion,-0.06036044
Netherlands,NLD,1958-Q3,trade_balance_usd_billion,-0.0731343
New Zealand,NZL,1958-Q3,trade_balance_usd_billion,-0.018806549000000002
Portugal,PRT,1958-Q3,trade_balance_usd_billion,-0.0518758
South Korea,KOR,1958-Q3,trade_balance_usd_billion,-0.08353215
Sweden,SWE,1958-Q3,trade_balance_usd_billion,-0.0445289667
Switzerland,CHE,1958-Q3,trade_balance_usd_billion,-0.032043212
Turkey,TUR,1958-Q3,trade_balance_usd_billion,-0.024186054
United Kingdom,GBR,1958-Q3,trade_balance_usd_billion,-0.29609125999999997
United States,USA,1958-Q3,trade_balance_usd_billion,0.9276
Australia,AUS,1958-Q4,trade_balance_usd_billion,0.008023500000000001
Austria,AUT,1958-Q4,trade_balance_usd_billion,-0.024838505
Belgium,BEL,1958-Q4,trade_balance_usd_billion,-0.0182426114
Canada,CAN,1958-Q4,trade_balance_usd_billion,-0.09160712
Denmark,DNK,1958-Q4,trade_balance_usd_billion,-0.010096973
Finland,FIN,1958-Q4,trade_balance_usd_billion,0.0065414075000000006
Germany,DEU,1958-Q4,trade_balance_usd_billion,0.3084845
Greece,GRC,1958-Q4,trade_balance_usd_billion,-0.07470695
Iceland,ISL,1958-Q4,trade_balance_usd_billion,-0.005768721
Ireland,IRL,1958-Q4,trade_balance_usd_billion,-0.06316527999999999
Italy,ITA,1958-Q4,trade_balance_usd_billion,-0.18779368000000002
Japan,JPN,1958-Q4,trade_balance_usd_billion,-0.028929664
Netherlands,NLD,1958-Q4,trade_balance_usd_billion,-0.1244731
New Zealand,NZL,1958-Q4,trade_balance_usd_billion,-0.024505863
Portugal,PRT,1958-Q4,trade_balance_usd_billion,-0.046813679999999996
South Korea,KOR,1958-Q4,trade_balance_usd_billion,-0.08196979
Sweden,SWE,1958-Q4,trade_balance_usd_billion,-0.074787647
Switzerland,CHE,1958-Q4,trade_balance_usd_billion,-0.034799255
Turkey,TUR,1958-Q4,trade_balance_usd_billion,-0.013664024
United Kingdom,GBR,1958-Q4,trade_balance_usd_billion,-0.38203531
United States,USA,1958-Q4,trade_balance_usd_billion,0.7029000000000001
Australia,AUS,1959-Q1,trade_balance_usd_billion,0.012756640100000001
Austria,AUT,1959-Q1,trade_balance_usd_billion,-0.025586334
Belgium,BEL,1959-Q1,trade_balance_usd_billion,-0.07439943
Canada,CAN,1959-Q1,trade_balance_usd_billion,-0.14172977
Denmark,DNK,1959-Q1,trade_balance_usd_billion,-0.014790548
Finland,FIN,1959-Q1,trade_balance_usd_billion,0.008671039
Germany,DEU,1959-Q1,trade_balance_usd_billion,0.32755013
Greece,GRC,1959-Q1,trade_balance_usd_billion,-0.0894808
Iceland,ISL,1959-Q1,trade_balance_usd_billion,-0.006267877599999999
Ireland,IRL,1959-Q1,trade_balance_usd_billion,-0.05792459999999999
Italy,ITA,1959-Q1,trade_balance_usd_billion,-0.091302752
Japan,JPN,1959-Q1,trade_balance_usd_billion,-0.011143889999999998
Netherlands,NLD,1959-Q1,trade_balance_usd_billion,-0.09856234
New Zealand,NZL,1959-Q1,trade_balance_usd_billion,0.0399942852
Portugal,PRT,1959-Q1,trade_balance_usd_billion,-0.04269059
South Korea,KOR,1959-Q1,trade_balance_usd_billion,-0.06933076
Sweden,SWE,1959-Q1,trade_balance_usd_billion,-0.004680029
Switzerland,CHE,1959-Q1,trade_balance_usd_billion,-0.032054019
Turkey,TUR,1959-Q1,trade_balance_usd_billion,-0.0094028960000000009
United Kingdom,GBR,1959-Q1,trade_balance_usd_billion,-0.28144588000000004
United States,USA,1959-Q1,trade_balance_usd_billion,0.3084
Australia,AUS,1959-Q2,trade_balance_usd_billion,0.051307160000000004
Austria,AUT,1959-Q2,trade_balance_usd_billion,-0.051459055000000004
Belgium,BEL,1959-Q2,trade_balance_usd_billion,-0.036093329
Canada,CAN,1959-Q2,trade_balance_usd_billion,-0.08486162
